,antigen_recognition_function,antigenic_feature_range,antigenic_feature_count,lymphocytes_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,best_solution,best_fitness,elapsed_time
122,ackley,"(-32.768, 32.768)",3,300,500,0.01,4,[-3.96609347 -1.98316423 -0.99155102],8.191699080296317,3.2567479610443115
123,ackley,"(-32.768, 32.768)",3,300,500,0.1,2,[ 9.85326848e-01 -1.17812086e-04 -2.95624313e+00],6.081566607781543,3.1834969520568848
124,ackley,"(-32.768, 32.768)",3,300,500,0.1,3,[-2.97511337e-05 -2.06937378e-04 -3.95794330e+00],7.367967451951772,3.243169069290161
125,ackley,"(-32.768, 32.768)",3,300,500,0.1,4,[-0.99302527  3.9713051   2.97850421],8.876756641625734,3.2984180450439453
126,ackley,"(-32.768, 32.768)",3,300,750,0.001,2,[ 3.90224212 -2.23755725 -0.90599509],9.166667067010385,4.853818893432617
127,ackley,"(-32.768, 32.768)",3,300,750,0.001,3,[-8.34069628  3.07528914 -1.86497305],14.310171588816903,4.796104907989502
128,ackley,"(-32.768, 32.768)",3,300,750,0.001,4,[ 1.0784299   1.94923431 -5.02277644],9.553603318848152,4.865179061889648
129,ackley,"(-32.768, 32.768)",3,300,750,0.01,2,[-1.99009509e+00 -5.96999413e+00  2.07946900e-05],10.347211278629496,4.771622896194458
130,ackley,"(-32.768, 32.768)",3,300,750,0.01,3,[ 1.98730913 -0.99365755  4.96812322],9.35301677785267,4.842954874038696
131,ackley,"(-32.768, 32.768)",3,300,750,0.01,4,[-5.97243968  1.9908664   1.99088882],10.685830195839143,4.944728136062622
132,ackley,"(-32.768, 32.768)",3,300,750,0.1,2,[ 0.99162649 -3.96628859 -1.98325704],8.191700200837538,4.833031892776489
133,ackley,"(-32.768, 32.768)",3,300,750,0.1,3,[ 0.96855772  0.96857193 -0.96856422],3.574452251372364,4.865505933761597
134,ackley,"(-32.768, 32.768)",3,300,750,0.1,4,[-2.9858834  -2.98615428  4.97664216],10.603804897085297,5.010654926300049
135,ackley,"(-32.768, 32.768)",3,300,1000,0.001,2,[-2.81882248 -1.58732771 -3.84538298],10.47892384142754,6.549928903579712
136,ackley,"(-32.768, 32.768)",5,500,250,0.001,2,[ 0.63760699  8.30106452 -5.03430128 -5.72739508 -3.19947734],14.679168346011505,2.682003974914551
137,ackley,"(-32.768, 32.768)",3,300,1000,0.001,3,[ 3.08140946 -1.91140801 -2.14843859],8.260395455834928,6.43390417098999
138,ackley,"(-32.768, 32.768)",5,500,250,0.001,3,[ 1.90100792  7.50608516  8.98909952 -6.1369974  -6.20102166],15.936977984257549,2.7273898124694824
139,ackley,"(-32.768, 32.768)",3,300,1000,0.001,4,[ 1.03276302 -0.60210423 -4.20129448],9.467582009910346,6.484940052032471
140,ackley,"(-32.768, 32.768)",3,300,1000,0.01,2,[ 0.99513035 -1.99025452  5.97065703],10.434549686672215,6.445619344711304
