,antigen_recognition_function,antigenic_feature_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,immune_responses,immune_memory_lymphocytes_count,best_fitness,elapsed_time
113,sphere,3,500,0.01,3,3,0.001,1056.481528838799,3.879971742630005
114,sphere,3,500,0.001,4,10,0.1,31.926510053217783,13.35123324394226
115,sphere,3,500,0.01,3,3,0.01,119.54300749876626,3.8073973655700684
116,sphere,3,500,0.01,3,5,0.001,335.16990438249377,6.4062299728393555
117,sphere,3,500,0.01,2,10,0.001,366.17351872774896,12.524028778076172
118,sphere,3,500,0.01,3,3,0.1,28.975582772625614,3.8790721893310547
119,sphere,3,500,0.01,3,5,0.01,128.6156414020069,6.40551233291626
120,sphere,3,500,0.01,2,10,0.01,5.1869834873484556e-08,12.484165668487549
121,sphere,3,500,0.01,4,3,0.001,137.31621772106314,3.9465131759643555
122,sphere,3,500,0.01,2,10,0.1,71.13975706723697,12.452706813812256
123,sphere,3,500,0.01,3,5,0.1,114.75625720536492,6.421832084655762
124,sphere,3,500,0.01,4,3,0.01,37.58070318269093,3.978057622909546
125,sphere,3,500,0.01,4,5,0.001,291.61892194310406,6.56500768661499
126,sphere,3,500,0.01,3,10,0.001,309.00153316121725,12.839141368865967
127,sphere,3,500,0.01,4,3,0.1,89.86919479065728,3.942681312561035
128,sphere,3,500,0.01,4,5,0.01,61.42734520918759,6.702550411224365
129,sphere,3,500,0.01,3,10,0.01,131.5873587622827,13.024399042129517
130,sphere,3,500,0.1,2,3,0.001,504.0473527146706,3.7762279510498047
131,sphere,3,500,0.01,4,5,0.1,110.19020127013516,6.681450128555298
132,sphere,3,500,0.01,3,10,0.1,1.1435003805881788e-08,12.815578937530518
133,sphere,3,500,0.1,2,3,0.01,100.31602922155966,3.7474629878997803
134,sphere,3,500,0.1,2,5,0.001,100.28806460248126,6.21999192237854
135,sphere,3,500,0.01,4,10,0.001,200.56791930035425,13.234303951263428
136,sphere,3,500,0.1,2,3,0.1,74.8654519590182,3.761054039001465
137,sphere,3,500,0.1,2,5,0.01,4.291567186579786e-06,6.266834259033203
138,sphere,3,500,0.01,4,10,0.01,133.90816140213315,13.387390375137329
139,sphere,3,500,0.1,3,3,0.001,64.29682023118248,3.9112348556518555
140,sphere,3,500,0.1,2,5,0.1,1.9231426943994843e-05,6.249330520629883
141,sphere,3,500,0.01,4,10,0.1,8.479179511811304e-09,13.29567551612854
142,sphere,3,500,0.1,3,3,0.01,12.671210446375005,3.9487907886505127
143,sphere,3,500,0.1,2,10,0.001,895.8931755218084,12.627516746520996
144,sphere,3,500,0.1,3,5,0.001,80.56802393374936,6.5666351318359375
145,sphere,3,500,0.1,3,3,0.1,6.003729818816195e-06,3.8545918464660645
146,sphere,3,500,0.1,2,10,0.01,1.7550772825432729e-07,12.674334049224854
147,sphere,3,500,0.1,3,5,0.01,2.430707173381557e-05,6.344342231750488
148,sphere,3,500,0.1,4,3,0.001,446.06870216708074,3.946227550506592
149,sphere,3,500,0.1,2,10,0.1,2.1297982140052519e-10,12.595686197280884
150,sphere,3,500,0.1,3,5,0.1,114.39579185714896,6.5189433097839355
151,sphere,3,500,0.1,4,3,0.01,263.61742686782475,3.905906915664673
152,sphere,3,500,0.1,4,5,0.001,395.4804305986093,6.5562732219696045
153,sphere,3,500,0.1,3,10,0.001,504.4889213776481,12.896374225616455
154,sphere,3,500,0.1,4,3,0.1,1.7017791359146683e-05,3.914501905441284
155,sphere,3,500,0.1,3,10,0.01,2.650755699289029e-10,12.793203353881836
156,sphere,3,500,0.1,4,5,0.01,82.1826644721696,6.6417436599731445
157,sphere,3,750,0.001,2,3,0.001,810.0241709073833,5.530129432678223
158,sphere,3,500,0.1,3,10,0.1,1.5634419626228998e-08,12.755472898483276
159,sphere,3,500,0.1,4,5,0.1,153.5700552451222,6.561295032501221
160,sphere,3,500,0.1,4,10,0.001,434.45475331990326,13.033514499664307
